name,description,website,facebookpage,twitterpage,pininterest,googleplus,instagram,blog
Reliance Jewels,,www.reliancejewels.net,,,,,,
Reliance Trends,,www.reliancetrendsblog.com,,,,,,
Rhysetta,,www.rhysetta.com,,,,,,
Riddhies Photo funda,,,,,,,,
Riot,,http://www.riot.co.in/,,,,,,
Ritu Kumar,,www.ritukumar.com,,,,,,
Rocia,,https://www.facebook.com/rociashoes,,,,,,
Rohit Bal,,www.rohitbal.com,,,,,,
Rosso Brunello,,https://www.facebook.com/RossoBrunello,,,,,,
Ruff,,http://www.ruff.in/,,,,,,
Rui,,www.riu.com,,,,,,
Ruosh,,ruosh.com,,,,,,
Sabai Foot Spa,,www.sabaifootspa.com,,,,,,
Samsonite,,www.samsonite.com,,,,,,
Samsonite,,www.samsoniteindia.com,,,,,,
Samsonite Black Label,,www.samsoniteindia.com,,,,,,
Satya Paul,,www.satyapaul.com,,,,,,
Satya Paul Accessories,,www.satyapaul.com,,,,,,
Satya Paul Signature,,http://www.satyapaul.com/,,,,,,
Sepia,,www.sepia.co.in,,,,,,
Seven East,,https://www.facebook.com/pages/Seven-East/192171224139715,,,,,,
Shaze,,http://shaze.in,,,,,,
Sheetal,,www.sheetalindia.com,,,,,,
Shoe Xpress,,,,,,,,
Shoppers Stop,,www.shoppersstop.com,,,,,,
Sia,,www.siajewellery.com,,,,,,
Simply Potatoes,,www.simplypotatoes.in,,,,,,
Sisley,,www.sisley.com,,,,,,
Skechers,,www.skechers.com,,,,,,
Soch,,www.sochstudio.com,,,,,,
Spencers,,www.spencersretail.com,,,,,,
Splash Fashion 365,,www.splashfashions.com,,,,,,
Splash Fashion 365,,http://www.splashfashions.com/,,,,,,
Sport XS,,http://www.sportxsindia.com/,,,,,,
Spykar,,www.spykar.com,,,,,,
Stanza,,www.stanzaworld.com,,,,,,
Steve Madden,,www.stevemadden.in,,,,,,
StreetSoul,,deepstreetsoul.com,,,,,,
Stuart Weitzman,,www.stuartweitzman.com,,,,,,
Sukho Thai,,http://www.sukhothai.in/,,,,,,
Sukho Thai,,www.sukhothai.com,,,,,,
Sunglass Hut,,www.sunglasshut.com,,,,,,
Sunglass Hut,,www.sunglass.com,,,,,,
Sunglass Hut,,http://www.sunglasshut.com/,,,,,,
Superdry,,www.superdry.com,,,,,,
Swarovski,,http://www.swarovski.com/,,,,,,
Swatch,,www.swatch.com,,,,,,
Tanishq,,tanishq.co.in,,,,,,
Tanishq,,www.tanishq.co.in,,,,,,
Tara Jewellers,,tarajewellers.in,,,,,,
The Body Shop,,www.thebodyshop.in,,,,,,
The Collective,,www.thecollective.in,,,,,,
The Nature's Co.,,http://www.thenaturesco.com/,,,,,,
The Nature's Co.,,www.thenaturesco.com,,,,,,
The Prime,,http://theprime.in/index.html,,,,,,
The Raymond Shop,,www.raymondindia.com,,,,,,
The Time Factory,,http://www.timexindia.com/,,,,,,
Thomas Pink,,www.thomaspink.com,,,,,,
Tie Rack,,http://www.genesiscolors.com/TieRack,,,,,,
Timberland,,www.timberland.com,,,,,,
Tip & Toe,,http://www.tipsandtoes.net.in/,,,,,,
Tissot,,www.tissot.ch,,,,,,
Titan Eye,,www.titaneyeplus.com,,,,,,
Titan Studio,,www.titanworld.com,,,,,,
Tomato,,,,,,,,
Tomato Spinach,,,,,,,,
Tommy Hilfiger,,www.tommy.com,,,,,,
Tommy Hilfiger,,www.tommyhilfiger.com,,,,,,
Tommy Hilfiger Childrens wear,,www.tommy.com,,,,,,
Touristor,,http://touristor.in/,,,,,,
Transforce,,www.transforce.com,,,,,,
Tresmode,,www.tresmode.com,,,,,,
Triumph,,www.triumph.com,,,,,,
Tumi,,www.tumi.com,,,,,,
Turtle,,theturtles.com,,,,,,
Tvacha,,http://www.tvacha.com/,,,,,,
U.S. Polo Assn,,www.uspoloassn.com,,,,,,
U.S. Polo Kids,,http://www.uspoloassn.com/,,,,,,
United Colors of Benetton,,www.benetton.com,,,,,,
United Colors of Benetton Kids,,http://www.benetton.com/,,,,,,
United Colors of Benetton Kids,,www.benetton.com/kids/,,,,,,
Urban Yoga,,www.urbanyoga.in,,,,,,
Urbana,,www.urbana.in,,,,,,
Van Heusen,,www.vanheusenindia.com,,,,,,
Vanilla Moon,,www.vanillamoon.co.in,,,,,,
Vans,,www.vans.com,,,,,,
Vero Moda,,www.veromoda.com,,,,,,
Vero Moda,,http://www.veromoda.com/,,,,,,
Viari,,,,,,,,
Vision World,,www.vwoptics.in,,,,,,
VLCC,,www.vlccwellness.com,,,,,,
W,,http://www.wforwoman.com/,,,,,,
W,,www.wforwoman.com,,,,,,
Watches and More,,www.watchesandmore.in,,,,,,
Westside,,http://www.mywestside.com/,,,,,,
Westside,,www.mywestside.com,,,,,,
Wildcraft,,www.wildcraft.in,,,,,,
William Penn,,http://williampenn.net,,,,,,
William Penn,,https://www.williampenn.net,,,,,,
Wills Lifestyle,,http://www.willslifestyle.com/,,,,,,
Wills Lifestyle,,www.willslifestyle.com,,,,,,
Woodland,,www.woodlandworldwide.com,,,,,,
Woodland,,http://woodlandworldwide.com/,,,,,,
Woodland,,woodlandworldwide.com,,,,,,
World Of Titan,,www.titanworld.com,,,,,,
World Of Titan,,http://titanworld.com/in/,,,,,,
Wrangler,,www.wrangler.in,,,,,,
Wrangler,,http://wrangler.in,,,,,,
Wrangler,,www.wrangler.com,,,,,,
You Shine,,http://www.youshine.in/,,,,,,
Zara,,www.zara.com,,,,,,
Zingrin,,https://www.facebook.com/pages/ZINGRIN/228673193874347,,,,,,
Zodiac,,www.zodiaconline.com,,,,,,
Zodiac,,www.zodiac.com,,,,,,
Zuni,,www.zuni.in,,,,,,
